"Method","Population","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd","PC5_mean","PC5_sd"
"PC-AIR","ACB",-0.00961070969090767,0.0129328733231395,-0.0165095614259763,0.0216689301873838,-0.028484851371855,0.0368724709819269,0.00359938753698966,0.0135345991573247,-0.00666191267953246,0.0105537747926667
"PC-AIR","ASW",-0.044802630189426,0.108527641026194,-0.0458634641135089,0.103932485569692,-0.0520097382605465,0.0900518867561057,0.0147148647483554,0.0183946091953397,0.00704134892139431,0.126075228626324
"PC-AIR","ESN",0.00871209304703566,0.000328254329791362,0.00939581259186449,0.000620627678262413,0.0111840066473061,0.000850520532462856,-0.0224645447646095,0.00210945287578866,0.000657895610804731,0.000872091280362434
"PC-AIR","GWD",0.00636241186734915,0.00128830832609275,0.0102675460507603,0.00187119955908669,0.017800703272915,0.00310667386787843,0.0567426644112959,0.00570121089192706,0.000110246989131684,0.000979898162458118
"PC-AIR","LWK",0.000968746362192539,0.00109363705690505,-0.00254381668827736,0.00139823118727605,-0.00934602711830729,0.0022063354643292,-0.0654800244281577,0.00641253839277565,0.00140073330626575,0.000972002176383551
"PC-AIR","MSL",0.00842351617696485,0.00040632252264867,0.0112656819053143,0.00082472836234968,0.0175311424588633,0.00136397510364465,0.0292890319526772,0.00328440100010802,0.000559847290835968,0.000841015926872887
"PC-AIR","YRI",0.00845128558681264,0.000444953830229644,0.00917269680931537,0.000610591233776411,0.011314688095502,0.000898161912654249,-0.0142459731862916,0.00272199118543199,0.000389067561236899,0.000745637730734858
"Standard PCA","ACB",0.010809072882255,0.0134235020593062,-0.0155140440520936,0.0182543896456593,-0.0224844021906834,0.0254795229658131,0.00525893166840466,0.00515636589061211,0.00549625869096248,0.0090829421972707
"Standard PCA","ASW",0.0483688675683543,0.101544448106883,-0.0421653635523883,0.101589763989062,-0.0366565189361574,0.0971575088958157,0.00431015964028868,0.115828390995486,-0.00826571171783287,0.0231518219020521
"Standard PCA","ESN",-0.00886184181145164,0.000441286779028742,0.00794619517407322,0.000723851041956675,0.00629943439083073,0.000784393090465962,0.0015550748295689,0.000508498939687397,0.0336042610539945,0.00284374094909567
"Standard PCA","GWD",-0.00663800992437014,0.00137069927206262,0.00998838811775699,0.00178435425998593,0.0155844018404593,0.0026398013396539,-0.00727689296129003,0.000984114810292794,-0.0559931134160387,0.00653713047753777
"Standard PCA","LWK",8.33938029314344e-05,0.00111436396810019,-0.00357922020141048,0.00121475445979237,-0.00754092227082642,0.00149851705326874,0.00374193268623358,0.000558074466881879,0.024408562513336,0.00194894214158982
"Standard PCA","MSL",-0.00814174555668294,0.000517012644935645,0.00920147575702772,0.000890464823487025,0.011702602235288,0.00121524718228845,-0.00374679986045595,0.000588115623241223,-0.0191401317822166,0.00288406075966935
"Standard PCA","YRI",-0.00861455974345072,0.000526348874467366,0.00787273341020135,0.00069653441674502,0.00671981734313314,0.000807089187430958,0.000758846970986343,0.000457864410588437,0.0247879848741397,0.0032988305236526
