"Method","Population","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd","PC5_mean","PC5_sd"
"PC-AIR","CDX",-0.0503952524293629,0.00587881795966249,0.00295472528436348,0.00230905734527503,0.0312236742176074,0.0083271069068648,-0.0142749369235484,0.00507560914771456,-0.00722283473288107,0.00371217078466868
"PC-AIR","CHB",0.0171630642607196,0.0140530310910991,0.00687294508527068,0.0026260733942967,-0.0625273590622774,0.0198183357195409,0.00534848334108285,0.00906579665803988,0.00187045662921955,0.00588528589300113
"PC-AIR","CHS",-0.00379898806883683,0.00713781285251792,0.00610994146190223,0.00194219770721336,-0.0333247256511144,0.00945149800642157,-0.00350726742594451,0.0034672919739855,-0.00100648041124033,0.002913826951813
"PC-AIR","JPT",0.071156866833139,0.00451991287718479,-0.00613898054179024,0.00233239934453791,0.0490617504095311,0.0105033950287349,-0.00225639201960901,0.00388073408325443,-0.00086054299387946,0.00331342625827479
"PC-AIR","KHV",-0.0416993614958126,0.00504824007956222,-0.00805904392546076,0.0898272800121344,0.0201189288868086,0.0147303092037973,0.0156601247443749,0.0955233450252211,0.00699270200074057,0.0977285905028332
"Standard PCA","CDX",-0.0454048670158336,0.00520169071882785,-0.0157957102174983,0.00319007792713365,-0.00914906745808055,0.00298795447685567,0.00803606709980296,0.00294608151346867,-0.00724174290099205,0.00225912161460302
"Standard PCA","CHB",0.0198854680805208,0.0135485225410779,0.012956135657331,0.00455000107817783,0.0110161047452301,0.00375513316147209,-0.013493813760728,0.00391902874775974,0.0046401161637814,0.0035767819191881
"Standard PCA","CHS",-0.000681463713621297,0.00831939785669839,0.034816103542608,0.0610008964036265,0.0184921135495334,0.0729327532918452,-0.0171131613767796,0.0707521269188177,0.00364589550125994,0.0161860238752845
"Standard PCA","JPT",0.0705969567207569,0.00428045428449073,-0.0307972445503624,0.00498585114874212,-0.01721090645792,0.0032825056707318,0.0151786237544214,0.00328027883615591,-0.00451379625027579,0.00191126753035664
"Standard PCA","KHV",-0.0414471761758982,0.00658377365767641,-0.0191605931695504,0.00912061980628879,-0.0123612766566186,0.00883777274950073,0.0151916148444964,0.022446213775526,0.000579540723328572,0.0883263060047433
