"Method","Population","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd","PC5_mean","PC5_sd"
"PC-AIR","CEU",0.00180168906102215,0.00407249798259605,0.011805298731329,0.00253030161640905,-0.00738775514318367,0.0026521735522175,0.0141772700070968,0.00344055979675956,-0.00423779694776407,0.0023327310590665
"PC-AIR","FIN",-0.0833913462708422,0.0144435359315264,-0.0102394383311995,0.00507438993895279,0.00545666783352723,0.00331312789738648,-0.0102050722601123,0.00648976917960355,0.00306676679518044,0.00300865709196752
"PC-AIR","GBR",0.00338225013691334,0.00258503204344792,0.0132433439294434,0.00304884441058971,-0.00877518183978429,0.00244442290103852,0.0167017488081954,0.00325988187420723,-0.00584874653389756,0.00272080632852294
"PC-AIR","IBS",0.0346093992217861,0.0064494407446738,-0.0144685591654023,0.0859279047706613,0.0128490955886406,0.0861138695844669,-0.0165908826440407,0.0885963162277841,0.00353777685012847,0.0803703211031354
"PC-AIR","TSI",0.0375942335512053,0.00230248766363083,0.000202138354044355,0.00259771598519091,-0.00271666002348199,0.00270236386015664,-0.00352701729975261,0.00325310351107404,0.00318738034811939,0.00299411904262552
"Standard PCA","CEU",0.00405130206056335,0.00433265701819305,0.0108775614124419,0.00263190683916623,0.00873789701465397,0.00297193228383008,0.008286702783891,0.00329760324901201,0.0392771204391366,0.0102695905264615
"Standard PCA","FIN",0.0810978840529396,0.0131986922959708,-0.0158113408860173,0.00460888231402449,-0.0111007884272342,0.00379592529556852,-0.00830318464075048,0.00285404136039244,-0.029753160046027,0.0104705205804833
"Standard PCA","GBR",0.00237599504868237,0.00247035696110246,0.00760175410704875,0.00184520900207479,0.00617988410878372,0.00172540274766404,0.00522284504014985,0.00185586210255634,0.0224936891316268,0.00289695791074908
"Standard PCA","IBS",-0.0373955611004747,0.00973168720139112,-0.00860122413036818,0.0773168371563439,-0.00873224580954407,0.0782000968425608,-0.00915549580748342,0.0784875112417988,-0.0334752658983488,0.0490896206847886
"Standard PCA","TSI",-0.0289624864181069,0.0019282311333977,0.0025875870992054,0.00170489828739285,0.00321016473712354,0.00182249810072919,0.00281148994615947,0.00180542057572781,-0.00819019326155195,0.00285738474922956
